Word1,Word2,Number of SMSs with co-occurences
0207,9153,1
0207,9996,1
0207,apply,2
0207,availa,1
0207,available,1
0207,call,2
0207,camera,2
0207,claim,2
0207,customer,2
0207,ends,2
0207,free,2
0207,july,1
0207,loyalty,2
0207,may,2
0207,offer,2
0207,optout,2
0207,orange,2
0207,phone,2
0207,tcs,2
0207,upgrade,2
0207,upgrdcentre,1
02070836089,1,1
02070836089,call,1
02070836089,message,1
02070836089,new,1
02072069400,1,1
02072069400,250,1
02072069400,350,1
02072069400,526,1
02072069400,british,1
02072069400,bx,1
02072069400,call,1
02072069400,claim,1
02072069400,holiday,1
02072069400,hotels,1
02072069400,london,1
02072069400,nothing,1
02072069400,selected,1
02072069400,stay,1
02072069400,sw73ss,1
02072069400,top,1
02072069400,worth,1
02073162414,20pmin,2
02073162414,2667,1
02073162414,30,2
02073162414,3xx,1
02073162414,costs,2
02073162414,explicit,2
02073162414,gsex,1
02073162414,pobox,1
02073162414,ring,2
02073162414,secs,2
02073162414,sex,2
02073162414,want,2
02073162414,wc1n,1
02085076972,150p,1
02085076972,back,1
02085076972,end,1
02085076972,hear,1
02085076972,horny,1
02085076972,hot,1
02085076972,live,1
02085076972,local,1
02085076972,ltdhelpdesk,1
02085076972,msg,1
02085076972,n,1
02085076972,netcollex,1
02085076972,per,1
02085076972,reply,1
02085076972,stop,1
02085076972,strt,1
02085076972,text,1
02085076972,willing,1
020903,07808726822,1
020903,08718729755,1
020903,08718729758,1
020903,2000,2
020903,2nd,2
020903,attempt,2
020903,awarded,2
020903,bonus,2
020903,box95qu,2
020903,call,2
020903,caller,2
020903,contact,2
020903,mobile,2
020903,prize,2
020903,urgent,2
021,0845,2
021,28thfebtcs,1
021,3680,1
021,3680offer,1
021,amanda,1
021,apply,1
021,call,2
021,camera,1
021,card,1
021,charge,1
021,claim,1
021,cs,1
021,current,1
021,customer,1
021,ends,2
021,free,2
021,go,1
021,handset,1
021,loyalty,1
021,may,1
021,offer,1
021,pay,1
021,phone,1
021,please,1
021,regard,1
021,renewing,1
021,sim,1
021,subject,1
021,tel,1
021,tmobile,2
021,today,1
021,ts,1
021,upgrade,1
021,upgrading,1
050703,09071512433,2
050703,1250,2
050703,150ppm,2
050703,2nd,2
050703,449071512431,1
050703,50,2
050703,attempt,2
050703,b4,2
050703,call,2
050703,callcost,2
050703,contact,2
050703,max7,2
050703,mobilesvary,2
050703,rgent,1
050703,tcsbcm4235wc1n3xx,2
050703,urgent,1
050703,uu,2
050703,won,2
0578,0800,2
0578,542,2
0578,announcement,1
0578,call,2
0578,customer,1
0578,freephone,2
0578,important,1
0578,premier,1
0578,service,1
06,08708034412,1
06,28th,1
06,87239,1
06,customer,1
06,draw,1
06,feb,1
06,good,1
06,luck,1
06,place,1
06,removal,1
06,send,1
06,services,1
06,stop,1
06,takes,1
060505,0784987,1
060505,08719180219,1
060505,2004,1
060505,45239,1
060505,786,1
060505,account,1
060505,bonus,1
060505,call,1
060505,claim,1
060505,code,1
060505,expires,1
060505,identifier,1
060505,points,1
060505,private,1
060505,shows,1
060505,statement,1
060505,unredeemed,1
061104,07808247860,1
061104,08719899229,1
061104,2003,1
061104,40411,1
061104,800,1
061104,account,1
061104,call,1
061104,code,1
061104,expires,1
061104,identifier,1
061104,m,1
061104,points,1
061104,private,1
061104,shows,1
061104,statement,1
061104,unredeemed,1
07008009200,alert,1
07008009200,call,1
07008009200,called,1
07008009200,left,1
07008009200,message,1
07008009200,missed,1
07008009200,numbers,1
07046744435,annoncement,1
07046744435,arrange,1
07046744435,call,1
07046744435,customer,1
07046744435,delivery,1
07046744435,new,1
07046744435,please,1
07046744435,service,1
07046744435,waiting,1
07046744435,years,1
07090201529,call,1
07090201529,im,1
07090201529,lets,1
07090201529,missed,1
07090201529,sorry,1
07090201529,talk,1
07090201529,time,1
07090298926,announcement,1
07090298926,call,1
07090298926,customer,1
07090298926,delivery,1
07090298926,make,1
07090298926,please,1
07090298926,recently,1
07090298926,ref9307622,1
07090298926,reschedule,1
07090298926,service,1
07090298926,tried,1
07090298926,unable,1
07099833605,announcement,1
07099833605,call,1
07099833605,customer,1
07099833605,delivery,1
07099833605,make,1
07099833605,please,1
07099833605,recently,1
07099833605,ref9280114,1
07099833605,reschedule,1
07099833605,service,1
07099833605,tried,1
07099833605,unable,1
071104,07808,1
071104,08719899217,1
071104,08719899230,1
071104,2003,2
071104,41685,2
071104,800,2
071104,account,2
071104,call,2
071104,code,2
071104,expires,2
071104,identifier,2
071104,m,2
071104,points,2
071104,private,2
071104,shows,2
071104,statement,2
071104,unredeemed,2
071104,xxxxxx,1
07123456789,150p,2
07123456789,2,2
07123456789,4,2
07123456789,87077,2
07123456789,adam,2
07123456789,ads,2
07123456789,eg,2
07123456789,eve,2
07123456789,heart,2
07123456789,joined,2
07123456789,logo,2
07123456789,love,2
07123456789,lover,2
07123456789,mobno,2
07123456789,name1,2
07123456789,name2,2
07123456789,names,2
07123456789,pobox36504w45wq,2
07123456789,send,2
07123456789,txt,2
07123456789,txtno,2
07123456789,ur,2
07123456789,yahoo,2
0721072,0800,1
0721072,100,1
0721072,call,1
0721072,find,1
0721072,free,1
0721072,half,1
0721072,line,1
0721072,messages,1
0721072,new,1
0721072,phone,1
0721072,price,1
0721072,rental,1
0721072,text,1
0721072,u,1
0721072,video,1
0721072,want,1
0721072,xmas,1
07732584351,08000930705,1
07732584351,burns,1
07732584351,call,1
07732584351,camcorder,1
07732584351,delivery,1
07732584351,free,1
07732584351,mobile,1
07732584351,msg,1
07732584351,nokia,1
07732584351,please,1
07732584351,re,1
07732584351,reply,1
07732584351,rodger,1
07732584351,sms,1
07732584351,tomorrow,1
07732584351,tried,1
07734396839,10,2
07734396839,customer,2
07734396839,get,2
07734396839,hi,2
07734396839,ibh,2
07734396839,loyalty,2
07734396839,mobile,2
07734396839,new,2
07734396839,no81151,2
07734396839,nokia6600,2
07734396839,now4t,2
07734396839,offer,2
07734396839,txtauctiontxt,2
07734396839,wordstart,2
07742676969,08719180248,2
07742676969,2004,2
07742676969,45239,2
07742676969,786,2
07742676969,account,2
07742676969,bonus,2
07742676969,call,2
07742676969,claim,2
07742676969,code,2
07742676969,expires,2
07742676969,identifier,2
07742676969,points,2
07742676969,private,2
07742676969,shows,2
07742676969,statement,2
07742676969,unredeemed,2
07753741225,08715203677,1
07753741225,2003,1
07753741225,241004,1
07753741225,42478,1
07753741225,800,1
07753741225,account,1
07753741225,call,1
07753741225,code,1
07753741225,expires,1
07753741225,identifier,1
07753741225,m,1
07753741225,points,1
07753741225,private,1
07753741225,shows,1
07753741225,statement,1
07753741225,unredeemed,1
0776xxxxxxx,150pmsgrcvdhgsuite3422landsroww1j6hl,2
0776xxxxxxx,18yrs,2
0776xxxxxxx,86688,2
0776xxxxxxx,attempt,2
0776xxxxxxx,chat,2
0776xxxxxxx,contact,2
0776xxxxxxx,dear,2
0776xxxxxxx,final,2
0776xxxxxxx,invited,2
0776xxxxxxx,ldn,2
0776xxxxxxx,txt,2
0776xxxxxxx,u,2
0776xxxxxxx,uve,2
0776xxxxxxx,xchat,2
07786200117,08081560665,2
07786200117,18only,2
07786200117,2,2
07786200117,bahamas,2
07786200117,callfreefone,2
07786200117,cash,2
07786200117,claim,2
07786200117,cruise,2
07786200117,either,2
07786200117,going,2
07786200117,live,2
07786200117,of2000,2
07786200117,operator,2
07786200117,opt,2
07786200117,speak,2
07786200117,txt,2
07786200117,ur,2
07786200117,x,2
077xxx,09066362206,1
077xxx,150ppm,1
077xxx,2000,1
077xxx,2nd,1
077xxx,asap,1
077xxx,attempt,1
077xxx,bonus,1
077xxx,box97n7qp,1
077xxx,call,1
077xxx,caller,1
077xxx,mobile,1
077xxx,prize,1
077xxx,reach,1
077xxx,urgent,1
077xxx,won,1
078,2003,1
078,account,1
078,private,1
078,statement,1
07801543489,150pmt,1
07801543489,40gb,1
07801543489,500,1
07801543489,guaranteed,1
07801543489,ipod,1
07801543489,latests,1
07801543489,mp3,1
07801543489,msgrcvd18,1
07801543489,no83355,1
07801543489,nokia,1
07801543489,nyusa,1
07801543489,phone,1
07801543489,player,1
07801543489,prize,1
07801543489,tcllc,1
07801543489,txt,1
07801543489,wordcollect,1
07808,08719899217,1
07808,2003,1
07808,41685,1
07808,800,1
07808,account,1
07808,call,1
07808,code,1
07808,expires,1
07808,identifier,1
07808,m,1
07808,points,1
07808,private,1
07808,shows,1
07808,statement,1
07808,unredeemed,1
07808,xxxxxx,1
07808247860,08719899229,1
07808247860,2003,1
07808247860,40411,1
07808247860,800,1
07808247860,account,1
07808247860,call,1
07808247860,code,1
07808247860,expires,1
07808247860,identifier,1
07808247860,m,1
07808247860,points,1
07808247860,private,1
07808247860,shows,1
07808247860,statement,1
07808247860,unredeemed,1
07808726822,08718729758,1
07808726822,2000,1
07808726822,2nd,1
07808726822,attempt,1
07808726822,awarded,1
07808726822,bonus,1
07808726822,box95qu,1
07808726822,call,1
07808726822,caller,1
07808726822,contact,1
07808726822,mobile,1
07808726822,prize,1
07808726822,urgent,1
07815296484,08718738001,1
07815296484,181104,1
07815296484,2003,1
07815296484,41782,1
07815296484,800,1
07815296484,account,1
07815296484,call,1
07815296484,code,1
07815296484,expires,1
07815296484,identifier,1
07815296484,points,1
07815296484,private,1
07815296484,shows,1
07815296484,sim,1
07815296484,statement,1
07815296484,unredeemed,1
07821230901,09065174042,2
07821230901,150,2
07821230901,admirer,2
07821230901,call,2
07821230901,care,2
07821230901,cust,2
07821230901,msg,2
07821230901,opt,2
07821230901,per,2
07821230901,r,2
07821230901,recd,2
07821230901,reply,2
07821230901,reveal,2
07821230901,secret,2
07821230901,special,2
07821230901,stop,2
07821230901,thinks,2
07821230901,u,2
0784987,08719180219,1
0784987,2004,1
0784987,45239,1
0784987,786,1
0784987,account,1
0784987,bonus,1
0784987,call,1
0784987,claim,1
0784987,code,1
0784987,expires,1
0784987,identifier,1
0784987,points,1
0784987,private,1
0784987,shows,1
0784987,statement,1
0784987,unredeemed,1
0789xxxxxxx,4,1
0789xxxxxxx,awaiting,1
0789xxxxxxx,day2find,1
0789xxxxxxx,fantastic,1
0789xxxxxxx,httpwwwurawinnercom,1
0789xxxxxxx,important,1
0789xxxxxxx,information,1
0789xxxxxxx,log,1
0789xxxxxxx,lucky,1
0789xxxxxxx,onto,1
0789xxxxxxx,orange,1
0789xxxxxxx,surprise,1
0789xxxxxxx,theres,1
0789xxxxxxx,today,1
0789xxxxxxx,user,1
0794674629107880867867,2,1
0794674629107880867867,285,1
0794674629107880867867,2morow,1
0794674629107880867867,info,1
0794674629107880867867,ladies,1
0794674629107880867867,nichols,1
0794674629107880867867,parisfree,1
0794674629107880867867,roses,1
0794674629107880867867,soiree,1
0794674629107880867867,speciale,1
0794674629107880867867,xclusiveclubsaisai,1
0794674629107880867867,zouk,1
0796xxxxxx,4,1
0796xxxxxx,day2,1
0796xxxxxx,fantastic,1
0796xxxxxx,find,1
0796xxxxxx,httpwwwurawinnercom,1
0796xxxxxx,important,1
0796xxxxxx,information,1
0796xxxxxx,log,1
0796xxxxxx,lucky,1
0796xxxxxx,onto,1
0796xxxxxx,orange,1
0796xxxxxx,prizeawaiting,1
0796xxxxxx,theres,1
0796xxxxxx,today,1
0796xxxxxx,ur,1
0796xxxxxx,user,1
07973788240,08715203649,1
07973788240,2003,1
07973788240,311004,1
07973788240,40533,1
07973788240,800,1
07973788240,account,1
07973788240,call,1
07973788240,code,1
07973788240,expires,1
07973788240,identifier,1
07973788240,m,1
07973788240,points,1
07973788240,private,1
07973788240,shows,1
07973788240,statement,1
07973788240,unredeemed,1
07xxxxxxxxx,08719181259,1
07xxxxxxxxx,09066362231,2
07xxxxxxxxx,150ppm,1
07xxxxxxxxx,2000,2
07xxxxxxxxx,2004,1
07xxxxxxxxx,260305,1
07xxxxxxxxx,2nd,2
07xxxxxxxxx,786,1
07xxxxxxxxx,account,1
07xxxxxxxxx,asap,2
07xxxxxxxxx,attempt,2
07xxxxxxxxx,bonus,2
07xxxxxxxxx,box97n7qp,1
07xxxxxxxxx,call,3
07xxxxxxxxx,caller,2
07xxxxxxxxx,claim,1
07xxxxxxxxx,code,1
07xxxxxxxxx,expires,1
07xxxxxxxxx,identifier,1
07xxxxxxxxx,mobile,2
07xxxxxxxxx,points,1
07xxxxxxxxx,prize,2
07xxxxxxxxx,reach,2
07xxxxxxxxx,shows,1
07xxxxxxxxx,unredeemed,1
07xxxxxxxxx,urgent,2
07xxxxxxxxx,won,2
07xxxxxxxxx,xxxxx,1
0800,0825,2
0800,100,1
0800,1000,3
0800,10am9pm,2
0800,169,2
0800,18,1
0800,195,1
0800,1956669,3
0800,32000,1
0800,500,3
0800,5000,2
0800,505060,1
0800,542,4
0800,6031,2
0800,6669,1
0800,75000,3
0800,announcement,3
0800,award,1
0800,back,4
0800,call,13
0800,cant,1
0800,cash,3
0800,christmas,1
0800,claim,1
0800,credit,1
0800,customer,5
0800,efreefone,1
0800,even,1
0800,find,1
0800,flowers,1
0800,free,6
0800,freephone,4
0800,get,1
0800,guaranteed,3
0800,half,1
0800,help,4
0800,homeowners,3
0800,important,3
0800,interflora,1
0800,late,1
0800,legitimat,1
0800,line,1
0800,loan,4
0800,maybe,1
0800,messages,1
0800,midnight,1
0800,new,1
0800,number,1
0800,order,1
0800,phone,1
0800,place,1
0800,please,2
0800,premier,1
0800,previously,3
0800,price,1
0800,prize,2
0800,purpose,3
0800,refused,4
0800,rental,1
0800,representative,2
0800,secured,1
0800,service,5
0800,still,3
0800,tenants,3
0800,text,5
0800,think,1
0800,tomorrow,1
0800,u,2
0800,unsecured,1
0800,ur,1
0800,video,1
0800,want,1
0800,wat,1
0800,welcome,3
0800,won,3
0800,xmas,1
08000407165,1000,2
08000407165,18,2
08000407165,2,2
08000407165,200,2
08000407165,4jx,1
08000407165,88222,2
08000407165,award,2
08000407165,call,2
08000407165,cashto,2
08000407165,claim,2
08000407165,even,2
08000407165,free,2
08000407165,getstop,2
08000407165,guaranteed,2
08000407165,php,2
08000407165,rg21,1
08000407165,stop,2
08000407165,ur,2
08000407165,won,2
08000776320,150,2
08000776320,750,1
08000776320,anytime,2
08000776320,call,2
08000776320,delivery,2
08000776320,five,2
08000776320,mins,2
08000776320,network,2
08000776320,new,2
08000776320,per,2
08000776320,phone,1
08000776320,phone750,1
08000776320,pounds,2
08000776320,reply,2
08000776320,text,2
08000776320,tomorrow,2
08000776320,video,2
08000776320,want,2
08000776320,week,2
08000839402,1000,4
08000839402,11mths,2
08000839402,12,3
08000839402,12mths,1
08000839402,2optout,1
08000839402,2stoptx,1
08000839402,2stoptxt,3
08000839402,4,4
08000839402,400minscall,1
08000839402,6months,2
08000839402,available,2
08000839402,best,2
08000839402,bluetooth,8
08000839402,bluetoothhdset,1
08000839402,btooth,1
08000839402,call,14
08000839402,call2optout4qf2,1
08000839402,call2optoutf4q,1
08000839402,call2optouthf8,1
08000839402,call2optoutj5q,1
08000839402,call2optoutlf56,2
08000839402,call2optoutn9dx,2
08000839402,call2optoutyhl,1
08000839402,calls,2
08000839402,camera,4
08000839402,colour,2
08000839402,contract,1
08000839402,double,11
08000839402,doublemins,1
08000839402,doubletxt,1
08000839402,dvd,1
08000839402,free,12
08000839402,freefone,2
08000839402,freenokia,1
08000839402,get,2
08000839402,great,2
08000839402,half,1
08000839402,latest,10
08000839402,line,1
08000839402,linerental,3
08000839402,mins,11
08000839402,mobile,2
08000839402,mobiles,4
08000839402,mobileupd8,13
08000839402,motorola,8
08000839402,new,2
08000839402,nokia,7
08000839402,offer,4
08000839402,offers,2
08000839402,or2optouthv9d,1
08000839402,orange,13
08000839402,oranges,2
08000839402,panasonic,1
08000839402,pdatenow,1
08000839402,phones,4
08000839402,price,4
08000839402,rental,1
08000839402,sony,2
08000839402,sonyericsson,5
08000839402,tariffs,4
08000839402,tcs,2
08000839402,txt,6
08000839402,txts,5
08000839402,unlimited,2
08000839402,upd8,2
08000839402,update,2
08000839402,updatenow,2
08000839402,weekend,2
08000839402,xmas,2
08000930705,100,4
08000930705,200,1
08000930705,3,1
08000930705,300,3
08000930705,3510i,4
08000930705,44,1
08000930705,750,10
08000930705,7732584351,1
08000930705,anytime,7
08000930705,burns,1
08000930705,call,16
08000930705,camcorder,14
08000930705,colour,4
08000930705,contact,5
08000930705,del,2
08000930705,delivered,1
08000930705,deliveredtomorrow,3
08000930705,delivery,6
08000930705,fone,1
08000930705,free,8
08000930705,half,5
08000930705,handset,5
08000930705,hit,1
08000930705,latest,1
08000930705,line,4
08000930705,mins,10
08000930705,minutes,4
08000930705,mobile,7
08000930705,months,1
08000930705,msg,1
08000930705,network,6
08000930705,networks,2
08000930705,new,9
08000930705,nokia,6
08000930705,offer,5
08000930705,phone,7
08000930705,please,1
08000930705,price,5
08000930705,re,8
08000930705,rental,5
08000930705,reply,16
08000930705,response,1
08000930705,rodger,1
08000930705,sat,1
08000930705,sms,3
08000930705,text,7
08000930705,texts,3
08000930705,thurs,1
08000930705,time,1
08000930705,tomorrow,4
08000930705,tried,8
08000930705,unlimited,5
08000930705,video,10
08000930705,want,8
08000930705,wed,1
08000938767,11mths,3
08000938767,4,3
08000938767,4mths,3
08000938767,call,3
08000938767,camera,3
08000938767,free,3
08000938767,half,3
08000938767,latest,3
08000938767,line,3
08000938767,mobilesdirect,3
08000938767,or2stoptxt,3
08000938767,orange,3
08000938767,phone,3
08000938767,phones,3
08000938767,price,3
08000938767,rental,3
08000938767,tcs,1
08000938767,update,3
08001950382,100,2
08001950382,12,3
08001950382,12mths,1
08001950382,12price,1
08001950382,2optoutd3wv,1
08001950382,449month,1
08001950382,500,3
08001950382,750,1
08001950382,also,1
08001950382,avble,1
08001950382,btooth,1
08001950382,bundle,1
08001950382,call,4
08001950382,call2optout674,2
08001950382,call2optoutj,1
08001950382,camera,3
08001950382,cross,3
08001950382,deals,1
08001950382,free,4
08001950382,half,2
08001950382,line,2
08001950382,linerental,2
08001950382,mf,1
08001950382,mins,3
08001950382,mins100txtmth,1
08001950382,mobileupd8,3
08001950382,motorola,1
08001950382,mths,2
08001950382,nokia,1
08001950382,ntwk,3
08001950382,phones,3
08001950382,price,3
08001950382,rental,2
08001950382,txt,1
08001950382,txts,2
08001950382,upto,1
08001950382,video,2
08001950382,xnet,1
08002888812,150,1
08002888812,400,1
08002888812,5,1
08002888812,600,1
08002888812,750,1
08002888812,anytime,2
08002888812,call,2
08002888812,calls,1
08002888812,delivery,1
08002888812,deltomorrow,1
08002888812,downloads,1
08002888812,five,1
08002888812,free,1
08002888812,inclusive,1
08002888812,mins,2
08002888812,network,2
08002888812,new,2
08002888812,per,2
08002888812,phone,2
08002888812,pounds,1
08002888812,reply,2
08002888812,text,1
08002888812,tomorrow,1
08002888812,video,2
08002888812,want,2
08002888812,week,2
08002986030,11,2
08002986030,call,2
08002986030,camera,2
08002986030,co,2
08002986030,colour,2
08002986030,entitled,2
08002986030,free,2
08002986030,latest,2
08002986030,mobile,2
08002986030,mobiles,2
08002986030,months,2
08002986030,r,2
08002986030,u,2
08002986030,update,2
08002986906,11mths,4
08002986906,call,4
08002986906,camera,4
08002986906,co,3
08002986906,colour,4
08002986906,december,4
08002986906,entitled,4
08002986906,free,4
08002986906,latest,4
08002986906,mobile,4
08002986906,update,4
08002986906,vco,1
08002988890,150,1
08002988890,750,1
08002988890,call,1
08002988890,contact,1
08002988890,delivery,1
08002988890,free,1
08002988890,mins,1
08002988890,new,1
08002988890,offer,1
08002988890,phone,1
08002988890,re,1
08002988890,reply,1
08002988890,textand,1
08002988890,tomorrow,1
08002988890,tried,1
08002988890,video,1
08006344447,1000,2
08006344447,2000,2
08006344447,call,2
08006344447,cash,2
08006344447,claim,2
08006344447,freefone,2
08006344447,gift,2
08006344447,great,2
08006344447,guaranteed,2
08006344447,live,2
08006344447,news,2
08006344447,operator,2
08006344447,speak,2
0808,1000,4
0808,145,4
0808,4742,4
0808,5000,4
0808,9am11pm,4
0808,call,4
0808,cash,4
0808,customer,4
0808,freephone,4
0808,guaranteed,4
0808,please,4
0808,prize,4
0808,representative,4
0808,service,4
0808,won,4
08081263000,83332please,1
08081263000,billed,1
08081263000,bt,1
08081263000,call,1
08081263000,charges,1
08081263000,free,1
08081263000,landline,1
08081263000,mistake,1
08081263000,mobile,1
08081263000,msgwe,1
08081263000,number,1
08081263000,refundedthis,1
08081263000,shortcode,1
08081560665,18only,2
08081560665,2,2
08081560665,bahamas,2
08081560665,callfreefone,2
08081560665,cash,2
08081560665,claim,2
08081560665,cruise,2
08081560665,either,2
08081560665,going,2
08081560665,live,2
08081560665,of2000,2
08081560665,operator,2
08081560665,opt,2
08081560665,speak,2
08081560665,txt,2
08081560665,ur,2
08081560665,x,2
0825,542,2
0825,announcement,2
0825,call,2
0825,customer,2
0825,freephone,2
0825,important,2
0825,service,2
0844,1,2
0844,85,2
0844,861,2
0844,access,2
0844,call,2
0844,direct,2
0844,fixed,2
0844,germany,2
0844,line,2
0844,minute,2
0844,number,2
0844,pence,2
0844,per,2
0844,prepayment,2
0844,via,2
0844,wwwtelediscountcouk,1
08448350055,2p,1
08448350055,bt,1
08448350055,call,1
08448350055,check,1
08448350055,cs,1
08448350055,germany,1
08448350055,info,1
08448350055,line,1
08448350055,min,1
08448350055,opt,1
08448350055,per,1
08448350055,planettalkinstantcom,1
08448350055,stop,1
08448350055,text,1
08448350055,ts,1
08448714184,1month,1
08448714184,68866,1
08448714184,activate,1
08448714184,call,1
08448714184,calls,1
08448714184,free,1
08448714184,freemsg,1
08448714184,help,1
08448714184,landlineonly,1
08448714184,smartcall,1
08448714184,stop,1
08448714184,stoptxt,1
08448714184,subscriptn3gbpwk,1
08448714184,txt,1
08448714184,unlimited,1
0845,16,1
0845,1st,1
0845,2814032,1
0845,28thfebtcs,1
0845,3680,1
0845,3680offer,1
0845,3x150pw,1
0845,87131,1
0845,amanda,1
0845,apply,1
0845,call,2
0845,camera,1
0845,card,1
0845,charge,1
0845,claim,1
0845,cs,1
0845,current,1
0845,customer,1
0845,end,1
0845,ends,2
0845,first,1
0845,free,3
0845,get,1
0845,go,1
0845,handset,1
0845,help,1
0845,loyalty,1
0845,may,1
0845,offer,1
0845,pay,1
0845,phone,1
0845,please,1
0845,poly,1
0845,regard,1
0845,renewing,1
0845,ringtone,1
0845,sim,1
0845,stop,1
0845,subject,1
0845,tel,1
0845,text,1
0845,tmobile,2
0845,today,1
0845,tone,1
0845,tones,1
0845,true,1
0845,ts,1
0845,txt,1
0845,upgrade,1
0845,upgrading,1
08450542832,84122,1
08450542832,customer,1
08450542832,future,1
08450542832,good,1
08450542832,luck,1
08450542832,marketing,1
08450542832,notified,1
08450542832,reply,1
08450542832,services,1
08450542832,sms,1
08450542832,stop,1
08450542832,thank,1
08450542832,winner,1
08452810071,150,1
08452810071,16,1
08452810071,1st,1
08452810071,2,1
08452810071,20,1
08452810071,every,1
08452810071,free,1
08452810071,get,1
08452810071,gr8,1
08452810071,msg,1
08452810071,opt,1
08452810071,per,1
08452810071,phone,1
08452810071,reply,1
08452810071,ringtone,1
08452810071,send,1
08452810071,stop,1
08452810071,tone,1
08452810071,tones,1
08452810071,top,1
08452810071,ur,1
08452810071,week,1
08452810071,wk,1
08452810073,18,3
08452810073,2,3
08452810073,80182,3
08452810073,apply,3
08452810073,chance,3
08452810073,comp,3
08452810073,details,3
08452810073,entry,3
08452810073,free,2
08452810073,get,3
08452810073,ipod,3
08452810073,pod,3
08452810073,rate,3
08452810073,ree,1
08452810073,std,3
08452810073,tcs,3
08452810073,txt,3
08452810073,weekly,3
08452810073,win,3
08452810075over18s,2,2
08452810075over18s,2005,2
08452810075over18s,21st,2
08452810075over18s,87121,2
08452810075over18s,apply,2
08452810075over18s,comp,2
08452810075over18s,cup,2
08452810075over18s,entry,2
08452810075over18s,fa,2
08452810075over18s,final,2
08452810075over18s,free,2
08452810075over18s,may,2
08452810075over18s,questionstd,2
08452810075over18s,ratetcs,2
08452810075over18s,receive,2
08452810075over18s,text,2
08452810075over18s,tkts,2
08452810075over18s,txt,2
08452810075over18s,win,2
08452810075over18s,wkly,2
0870,08707500020,1
0870,08707509020,4
0870,1327,5
0870,20p,5
0870,250,1
0870,3,1
0870,3mobile,1
0870,5wb,5
0870,800,1
0870,asked,1
0870,bailiff,1
0870,bill,1
0870,box,5
0870,call,5
0870,chance,2
0870,chatlines,1
0870,cr9,5
0870,croydon,5
0870,cust,1
0870,days,1
0870,dont,1
0870,due,1
0870,fantasies,3
0870,fantasy,2
0870,free,1
0870,giv,1
0870,got,1
0870,hot,3
0870,inclu,1
0870,india,1
0870,l8er,1
0870,live,3
0870,ltd,5
0870,mega,1
0870,min,5
0870,mins,1
0870,national,5
0870,ntt,5
0870,o,1
0870,per,5
0870,po,5
0870,rate,5
0870,reality,2
0870,sed,1
0870,servs,1
0870,shit,1
0870,show,2
0870,want,1
0870,yes,1
08700621170150p,day,1
08700621170150p,end,2
08700621170150p,female,1
08700621170150p,freemsg,2
08700621170150p,fun,1
08700621170150p,games,1
